PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-05-10,18:07:07.57,1,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.37361,-0.4821,1.782401,2424.274503,148.123917,11:00,5.59813,-1.75307,5.68989,-22.92438,9.94343,-5.56292,3.2382,-0.55484,84.71286,-4.74324,0.788082,0.412626,60.51114,33.397298,-73.676158,4578.161448,22.07416,33.30241,-107.76225,163.96753,131.41715,-81.06165,2.982646,3.30949,5.48697,1.60669,50,5.54324,-3.92774,-134.16838,-1.94532,6.05489,28.02105,-22.13532,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240510-BaggettStadium-1,c988ec70-0f32-11ef-bf16-d510a161579c,91.34769,36.32566,,7.66075,,,,0.62569,3.11013,0.64724,1c876769-c52c-4c32-ba38-4dc6f2b7a70c,2024-05-11,01:07:07.57,2024-05-10T18:07:07.5720000-07:00,2024-05-11T01:07:07.5720000Z,Popup,v3,471251,526275,10 May 2024 21:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,17a85313-ea39-4b0f-95d4-69d2aacdd5b9,54.81104,-135.16943,14.01053,5.59861,-1.15453,-11.06766,1.75087,-4.14405,3.02745,,0.62569,20.82549,-7.10753,1.52275,-0.27308,0.04875,-0.00872,0.00077,3E-05,3.11001,48.85697,-19.61373,1.54913,-0.38595,0.14943,-0.05997,0.01504,-0.00152,0.64718,-71.10479,10.45079,-2.70415,0.56913,-0.12168,0.0263,-0.0036,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2024-05-10,18:07:26.43,1,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.78551,2.534457,1.184023,2990.461062,299.39869,4:00,5.50785,-1.7624,5.49889,-55.65334,-9.04878,19.05131,3.2428,0.93287,71.09015,-7.640963,4.576926,0.491344,,,,,,,,,,,,-9.09764,-4.80331,1.64609,50,5.69281,-3.13594,-114.12672,3.11112,-11.74781,25.10248,-38.37657,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240510-BaggettStadium-1,d4cb00f0-0f32-11ef-bf16-d510a161579c,76.71294,,,7.69536,,,,,,,1c876769-c52c-4c32-ba38-4dc6f2b7a70c,2024-05-11,01:07:26.43,2024-05-10T18:07:26.4340000-07:00,2024-05-11T01:07:26.4340000Z,,v3,471251,526275,10 May 2024 21:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,81d67dad-1316-47e3-986c-2cd2ce716d1f,55.00211,-115.2217,12.55124,5.52059,4.78511,-19.18829,1.7717,-2.6235,-5.8739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-05-10,18:07:43.92,1,3,"Wright, Jakob",1000114562,Left,CAL_MUS,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.92337,2.544902,-0.136398,2822.451541,306.593891,4:15,5.5138,-1.68274,5.47285,-59.01172,-11.68501,17.92627,2.97933,-0.31654,70.78245,-8.211413,3.05949,0.495136,,,,,,,,,,,,-9.02091,-6.14575,1.68232,50,5.6976,-0.44462,-113.01123,2.97677,-11.50252,23.29335,-40.01046,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240510-BaggettStadium-1,df3a8330-0f32-11ef-bf16-d510a161579c,76.12543,,,7.14092,,,,,,,1c876769-c52c-4c32-ba38-4dc6f2b7a70c,2024-05-11,01:07:43.92,2024-05-10T18:07:43.9270000-07:00,2024-05-11T01:07:43.9270000Z,,v3,471251,526275,10 May 2024 21:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,b7c25a00-2b5b-44ad-966b-8fc250e59098,55.03063,-114.04341,11.64668,5.52641,4.74971,-20.00523,1.69073,0.06509,-5.75126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-05-10,18:08:00.25,1,4,"Wright, Jakob",1000114562,Left,CAL_MUS,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,1,2,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.62509,-1.653791,3.208688,2924.243733,284.465361,3:30,5.48135,-1.57683,4.92578,-40.87223,-0.78972,8.36516,0.50898,2.15685,78.12507,-9.010448,4.681888,0.455668,,,,,,,,,,,,-3.19221,0.41642,1.25636,50,5.28564,-7.31177,-123.89272,-5.16985,-4.89882,27.67526,-31.535,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240510-BaggettStadium-1,e8ebe590-0f32-11ef-bf16-d510a161579c,82.71905,,,7.50002,,,,,,,1c876769-c52c-4c32-ba38-4dc6f2b7a70c,2024-05-11,01:08:00.25,2024-05-10T18:08:00.2530000-07:00,2024-05-11T01:08:00.2530000Z,,v3,471251,526275,10 May 2024 21:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,99f9c4ba-1cd1-4142-a8e0-71908fcaa9a9,55.57643,-125.13218,13.83763,5.48555,-3.75752,-15.7675,1.57891,-7.09237,-2.44941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-05-10,18:08:23.09,1,5,"Wright, Jakob",1000114562,Left,CAL_MUS,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.81015,0.6441,2.445045,2980.133399,301.78438,4:00,5.46229,-1.53511,5.37166,-56.28334,-10.50414,19.64529,1.37649,2.39585,72.27165,-9.56577,5.93599,0.486974,,,,,,,,,,,,-9.05847,-5.09142,1.30119,50,5.48005,-5.72406,-115.60064,-0.68531,-11.9463,26.65448,-38.88862,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240510-BaggettStadium-1,f6907b20-0f32-11ef-bf16-d510a161579c,77.40139,,,7.5385,,,,,,,1c876769-c52c-4c32-ba38-4dc6f2b7a70c,2024-05-11,01:08:23.09,2024-05-10T18:08:23.0990000-07:00,2024-05-11T01:08:23.0990000Z,,v3,471251,526275,10 May 2024 21:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,f48f1f0a-ee51-4712-a529-1f7fc3d01655,55.13109,-116.77774,13.32724,5.4724,1.03207,-19.44431,1.54232,-5.19649,-5.97315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-05-10,18:08:42.93,1,6,"Wright, Jakob",1000114562,Left,CAL_MUS,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.404,-0.653062,2.658677,2663.663399,152.901514,11:00,5.63093,-1.53049,5.50966,-13.66324,19.07784,-9.19359,3.88091,0.19153,84.59344,-3.277251,1.023061,0.41183,84.18503,0.24982,-178.215692,2494.244571,,,,88.80917,43.08907,-177.472337,0.845627,5.30725,10.0469,1.30409,50,5.5646,-5.82729,-135.31636,-1.93261,9.79037,30.92666,-13.64031,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240510-BaggettStadium-1,0259e810-0f33-11ef-bf16-d510a161579c,91.52428,3.80955,,8.81056,,,,,,,1c876769-c52c-4c32-ba38-4dc6f2b7a70c,2024-05-11,01:08:42.93,2024-05-10T18:08:42.9300000-07:00,2024-05-11T01:08:42.9300000Z,GroundBall,v3,471251,526275,10 May 2024 21:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,3e77175c-277e-480e-8eac-0dc5420ed014,54.98498,-136.45092,15.46333,5.62632,-1.43221,-6.82016,1.52446,-6.18646,4.89519,186.513138,5.46813,-122.33226,13.03195,,,,,,,3.76781,0.98679,-6.40261,,,,,,,-0.22743,-3.91636,-0.5333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2024-05-10,18:09:05.81,1,7,"Wright, Jakob",1000114562,Left,CAL_MUS,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,3,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,78.87779,2.433363,0.60458,3032.596119,309.142764,4:15,5.49589,-1.593,5.45803,-61.54775,-14.6617,20.2243,2.64625,0.65832,70.79473,-8.794265,4.209086,0.492826,,,,,,,,,,,,-9.8789,-7.64193,1.52568,50,5.66887,-2.03281,-114.23298,2.66985,-12.67118,26.78532,-41.97597,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240510-BaggettStadium-1,1003adc0-0f33-11ef-bf16-d510a161579c,76.48231,,,8.08306,,,,,,,1c876769-c52c-4c32-ba38-4dc6f2b7a70c,2024-05-11,01:09:05.81,2024-05-10T18:09:05.8140000-07:00,2024-05-11T01:09:05.8140000Z,,v3,471251,526275,10 May 2024 21:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,afb23855-d363-4dbc-8eb3-20a84338db78,55.04415,-115.40968,13.39266,5.51107,4.51387,-20.98799,1.60276,-1.47616,-6.33559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.08596,2.488764,1.461811,1.026953,-0.59823,2.32539,-0.80903,-1.82526,5.03736,-1.1045,73.02344,7.25256,-51.77745,-1.79231,76.57484,-3.60985,5.12066,17.61684,-15.09163,-1.19914,-55.11713,5.66838,High,High,High,,,High,High,High
8,2024-05-10,18:09:41.51,2,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Katschke, Hunter",701772,Right,DIX_STE,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.61333,-1.115662,1.425607,2588.669667,155.71094,11:15,5.52366,-1.65944,5.51558,-21.13911,12.08615,-4.95307,2.71838,-0.73886,84.18098,-5.062292,0.542851,0.414864,86.4944,33.160494,80.479024,4479.210254,,,,,111.90795,,,2.9263,6.75961,1.53862,50,5.41246,-3.11604,-134.34301,-3.36874,5.31573,30.74457,-19.89493,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240510-BaggettStadium-1,2546cb40-0f33-11ef-bf16-d510a161579c,90.85496,53.40833,,8.43236,,,,0.97502,2.67909,0.7347,1c876769-c52c-4c32-ba38-4dc6f2b7a70c,2024-05-11,01:09:41.51,2024-05-10T18:09:41.5100000-07:00,2024-05-11T01:09:41.5100000Z,,v3,471251,526275,10 May 2024 21:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,82c595bd-ab14-4df1-b14c-1d79c0d92638,54.98401,-135.47881,15.37228,5.52334,-2.63376,-9.94746,1.65736,-3.31241,2.65786,,0.97502,17.56637,-13.18467,2.22846,-0.23428,-0.30777,0.32911,-0.15668,0.03037,2.67909,69.38997,-25.7589,3.40803,-0.46915,-0.25326,0.3334,-0.1634,0.03187,0.7347,104.73527,-9.44852,0.06165,-0.05088,0.17534,-0.19326,0.09469,-0.01847,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
9,2024-05-10,18:10:01.16,2,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"Katschke, Hunter",701772,Right,DIX_STE,Undefined,1,Top,1,0,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.97072,1.91656,0.703607,3007.257374,299.287269,4:00,5.49836,-1.69587,5.32361,-56.83936,-9.97878,20.92418,2.56112,0.70814,71.07007,-8.440053,4.422319,0.492692,106.45824,31.039585,-41.703318,3271.132488,78.90821,61.93371,-76.63859,405.8246,345.18002,-52.843319,5.049773,-10.2989,-5.2689,1.61619,50,5.63056,-2.24403,-114.40008,1.83287,-13.28673,26.31622,-38.97152,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240510-BaggettStadium-1,3100cee0-0f33-11ef-bf16-d510a161579c,76.50309,93.6225,,7.90065,,,,2.8299,2.80289,-0.5212,1c876769-c52c-4c32-ba38-4dc6f2b7a70c,2024-05-11,01:10:01.16,2024-05-10T18:10:01.1650000-07:00,2024-05-11T01:10:01.1650000Z,FlyBall,v3,471251,526275,10 May 2024 21:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,36b1e07d-2cab-4548-b2a1-b1e17e316cab,55.17911,-115.58532,13.15811,5.50849,3.58809,-19.48576,1.70378,-1.64562,-6.64337,,2.82944,99.89141,-26.36409,7.31607,-1.83906,0.41791,-0.07265,0.00774,-0.00036,2.80604,80.44292,-20.01151,0.76745,0.35465,-0.20734,0.04988,-0.0058,0.00026,-0.5206,-89.01423,11.4014,-2.75069,0.65219,-0.15542,0.02953,-0.00337,0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2024-05-10,18:10:28.07,2,3,"Wright, Jakob",1000114562,Left,CAL_MUS,"Katschke, Hunter",701772,Right,DIX_STE,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.54026,0.274441,1.433072,2724.373564,168.64438,11:30,5.61323,-1.5472,5.44164,-20.00552,12.38713,-2.28831,4.20317,-0.39572,85.53591,-3.454895,1.026021,0.409633,,,,,,,,,,,,1.53425,6.46052,1.42205,50,5.62388,-3.28914,-135.79456,-0.07385,2.87311,28.93322,-20.07579,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240510-BaggettStadium-1,4108a8d0-0f33-11ef-bf16-d510a161579c,92.01524,,,8.00435,,,,,,,1c876769-c52c-4c32-ba38-4dc6f2b7a70c,2024-05-11,01:10:28.07,2024-05-10T18:10:28.0740000-07:00,2024-05-11T01:10:28.0740000Z,,v3,471251,526275,10 May 2024 21:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,7c1fe1b5-a088-40fb-9892-343530f3417f,55.05779,-136.86796,14.46661,5.6128,0.67095,-10.0379,1.54605,-3.39573,1.43655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
